City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Yellowknife,CA,59.52,few clouds,62.456,-114.3525,The Explorer Hotel
6,Barrow,US,55.42,clear sky,71.2906,-156.7887,King Eider Inn
20,Hobart,AU,56.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
31,Castro,BR,52.2,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Port Elizabeth,ZA,50.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
65,Skelleftea,SE,55.76,broken clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
79,New Norfolk,AU,55.65,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
90,Port Hardy,CA,53.78,scattered clouds,50.6996,-127.4199,Airport Inn
91,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
95,Torbay,CA,57.97,overcast clouds,47.6666,-52.7314,Gallows Cove
100,Hermanus,ZA,57.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
107,Tuktoyaktuk,CA,51.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
111,Cidreira,BR,57.51,scattered clouds,-30.1811,-50.2056,Hotel Castelo
120,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,Commodore on the Park
128,Prince Rupert,CA,53.69,clear sky,54.3161,-130.3201,Crest Hotel
130,Bulaevo,KZ,56.61,scattered clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
134,Raudeberg,NO,51.19,overcast clouds,61.9875,5.1352,Nordre Silda.
141,Magadan,RU,58.68,broken clouds,59.5667,150.8,Magadan hotel
146,La Ronge,CA,57.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
149,Flinders,AU,58.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
171,Yulara,AU,55.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
172,Port Alfred,ZA,56.08,clear sky,-33.5906,26.891,The Halyards Hotel
181,Leh,IN,53.01,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
182,Livingstone,ZM,51.26,clear sky,-17.8419,25.8543,Gloria's Bed and Breakfast
184,Bonnyville,CA,57.0,broken clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
186,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
193,Fortuna,US,56.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
196,Chapais,CA,53.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
197,Imbituba,BR,58.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
201,Marialva,BR,59.63,overcast clouds,-23.485,-51.7917,Hotel Vinhedo
202,Sioux Lookout,CA,52.18,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
208,Usinsk,RU,56.52,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
223,Nadym,RU,50.34,overcast clouds,65.5333,72.5167,Apartment on Zvereva
240,Halifax,CA,57.49,clear sky,44.6453,-63.5724,Hotel Halifax
252,Sistranda,NO,52.9,overcast clouds,63.7256,8.834,Hotell Frøya
260,Azuaga,ES,52.97,overcast clouds,38.2667,-5.6833,Casa Rural La Hoya
263,Tupik,RU,57.72,light rain,54.4253,119.9327,Guest House Orkhideya
265,Port-Cartier,CA,53.82,overcast clouds,50.0334,-66.8654,Le Q'Artier
