City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Busselton,-33.65,115.3333,58.05,67,100,14.03,AU,overcast clouds,2021-06-19 01:53:12
1,Rikitea,-23.1203,-134.9692,74.84,77,8,23.78,PF,clear sky,2021-06-19 01:53:00
2,Qeshm,26.9581,56.2719,87.69,82,0,9.04,IR,clear sky,2021-06-19 01:55:20
3,Upernavik,72.7868,-56.1549,35.1,69,6,6.67,GL,clear sky,2021-06-19 01:55:20
4,Castro,-24.7911,-50.0119,53.08,98,100,9.44,BR,light rain,2021-06-19 01:42:21
5,Qaanaaq,77.484,-69.3632,31.03,75,29,4.74,GL,scattered clouds,2021-06-19 01:53:25
6,Albany,42.6001,-73.9662,75.15,68,100,5.82,US,overcast clouds,2021-06-19 01:46:47
7,Sao Filipe,14.8961,-24.4956,72.46,83,4,6.87,CV,clear sky,2021-06-19 01:53:03
8,Saskylakh,71.9167,114.0833,77.14,35,48,12.73,RU,scattered clouds,2021-06-19 01:52:57
9,Jamestown,42.097,-79.2353,74.52,73,90,13.8,US,overcast clouds,2021-06-19 01:48:35
10,Punta Arenas,-53.15,-70.9167,39.31,75,0,10.36,CL,clear sky,2021-06-19 01:53:04
11,Lagoa,39.05,-27.9833,64.49,82,6,10.09,PT,clear sky,2021-06-19 01:46:49
12,Hermanus,-34.4187,19.2345,55.9,65,7,6.38,ZA,clear sky,2021-06-19 01:53:12
13,Chicama,-7.8447,-79.1469,63.14,84,92,6.78,PE,overcast clouds,2021-06-19 01:55:22
14,Kyshtovka,56.555,76.6271,42.42,90,100,13.44,RU,overcast clouds,2021-06-19 01:55:23
15,Suluq,31.6682,20.2521,68.11,77,0,7.78,LY,clear sky,2021-06-19 01:55:23
16,Bayonet Point,28.3267,-82.6834,84.11,84,100,7.14,US,overcast clouds,2021-06-19 01:55:24
17,Ribas Do Rio Pardo,-20.4431,-53.7592,61.52,80,43,4.45,BR,scattered clouds,2021-06-19 01:55:24
18,Arraial Do Cabo,-22.9661,-42.0278,70.02,70,100,11.95,BR,overcast clouds,2021-06-19 01:46:50
19,Tuktoyaktuk,69.4541,-133.0374,60.8,41,40,14.97,CA,scattered clouds,2021-06-19 01:53:02
20,Ahipara,-35.1667,173.1667,65.53,76,1,8.84,NZ,clear sky,2021-06-19 01:55:25
21,Bogorodskoye,56.55,37.8833,58.71,87,0,6.6,RU,clear sky,2021-06-19 01:55:26
22,Kirakira,-10.4544,161.9205,84.87,73,18,11.7,SB,few clouds,2021-06-19 01:55:27
23,Hithadhoo,-0.6,73.0833,83.43,72,100,10.92,MV,overcast clouds,2021-06-19 01:52:59
24,Wuwei,37.9281,102.6414,68.5,36,100,1.5,CN,overcast clouds,2021-06-19 01:55:27
25,Mataura,-46.1927,168.8643,48.47,67,18,4.59,NZ,few clouds,2021-06-19 01:52:57
26,Constitucion,-35.3333,-72.4167,51.01,89,0,4.41,CL,clear sky,2021-06-19 01:55:28
27,Salalah,17.0151,54.0924,81.75,82,98,8.08,OM,overcast clouds,2021-06-19 01:55:29
28,Manaul,12.453,121.4107,87.03,66,28,6.71,PH,scattered clouds,2021-06-19 01:55:29
29,Mar Del Plata,-38.0023,-57.5575,45.12,54,75,1.01,AR,broken clouds,2021-06-19 01:53:28
30,Tobetsu,43.2169,141.5169,64.31,72,75,18.41,JP,light rain,2021-06-19 01:55:30
31,Vaini,-21.2,-175.2,78.96,83,40,8.05,TO,scattered clouds,2021-06-19 01:53:26
32,Killybegs,54.6333,-8.45,45.45,75,100,5.73,IE,overcast clouds,2021-06-19 01:55:30
33,Port Alfred,-33.5906,26.891,56.73,83,6,13.11,ZA,clear sky,2021-06-19 01:52:58
34,Longyearbyen,78.2186,15.6401,39.04,70,75,21.85,SJ,broken clouds,2021-06-19 01:46:41
35,Bluff,-46.6,168.3333,48.79,66,0,10.42,NZ,clear sky,2021-06-19 01:53:22
36,Luderitz,-26.6481,15.1594,68.67,36,0,8.37,NA,clear sky,2021-06-19 01:54:59
37,Blytheville,35.9273,-89.919,84.42,67,40,6.42,US,scattered clouds,2021-06-19 01:55:32
38,Puri,19.8,85.85,83.37,76,100,19.64,IN,overcast clouds,2021-06-19 01:55:32
39,Yellowknife,62.456,-114.3525,70.32,28,20,20.71,CA,few clouds,2021-06-19 01:53:16
40,Krasnyy Chikoy,50.3643,108.7512,68.07,43,44,11.27,RU,scattered clouds,2021-06-19 01:55:33
41,Aklavik,68.2191,-135.0107,77.83,32,100,11.01,CA,overcast clouds,2021-06-19 01:55:33
42,Awjilah,29.1081,21.2869,71.94,52,0,12.39,LY,clear sky,2021-06-19 01:55:33
43,Thompson,55.7435,-97.8558,66.36,34,20,9.22,CA,few clouds,2021-06-19 01:54:34
44,Atuona,-9.8,-139.0333,78.8,79,26,21.5,PF,light rain,2021-06-19 01:46:27
45,Terme,41.2092,36.9739,60.98,89,1,3.8,TR,clear sky,2021-06-19 01:55:34
46,Bambous Virieux,-20.3428,57.7575,68.22,88,40,1.14,MU,scattered clouds,2021-06-19 01:55:35
47,Imatra,61.1719,28.7524,64.78,71,4,1.99,FI,clear sky,2021-06-19 01:55:35
48,Ushuaia,-54.8,-68.3,38.86,93,75,6.91,AR,broken clouds,2021-06-19 01:53:28
49,Mahebourg,-20.4081,57.7,68.25,88,40,1.14,MU,scattered clouds,2021-06-19 01:55:36
50,Chokurdakh,70.6333,147.9167,68.0,34,13,6.71,RU,few clouds,2021-06-19 01:52:56
51,Pangnirtung,66.1451,-65.7125,43.39,65,98,2.91,CA,overcast clouds,2021-06-19 01:55:36
52,Kamenka,51.3223,42.7678,54.1,83,1,8.12,RU,clear sky,2021-06-19 01:55:37
53,Kodiak,57.79,-152.4072,49.51,87,90,17.27,US,light rain,2021-06-19 01:46:56
54,Brae,60.3964,-1.353,42.71,73,98,1.79,GB,overcast clouds,2021-06-19 01:55:37
55,Puerto Ayora,-0.7393,-90.3518,72.55,96,47,4.0,EC,scattered clouds,2021-06-19 01:53:07
56,Kruisfontein,-34.0033,24.7314,51.1,81,37,7.47,ZA,scattered clouds,2021-06-19 01:46:43
57,East London,-33.0153,27.9116,60.1,80,20,11.74,ZA,few clouds,2021-06-19 01:55:38
58,Sao Joao Da Barra,-21.6403,-41.0511,70.12,71,100,9.66,BR,overcast clouds,2021-06-19 01:55:39
59,Cap Malheureux,-19.9842,57.6142,68.47,78,9,3.0,MU,clear sky,2021-06-19 01:55:39
60,Richards Bay,-28.783,32.0377,63.5,80,88,1.45,ZA,overcast clouds,2021-06-19 01:53:10
61,Cape Town,-33.9258,18.4232,56.12,93,0,4.61,ZA,clear sky,2021-06-19 01:54:52
62,Juruti,-2.1522,-56.0922,73.74,95,65,3.62,BR,broken clouds,2021-06-19 01:55:40
63,Bambanglipuro,-7.95,110.2833,64.6,75,100,0.45,ID,overcast clouds,2021-06-19 01:55:40
64,Laguna,38.421,-121.4238,109.31,18,0,5.01,US,clear sky,2021-06-19 01:55:41
65,Bredasdorp,-34.5322,20.0403,51.28,93,10,3.44,ZA,clear sky,2021-06-19 01:55:41
66,Hobart,-42.8794,147.3294,56.01,80,40,6.91,AU,scattered clouds,2021-06-19 01:48:12
67,Lavrentiya,65.5833,-171.0,48.74,68,64,5.61,RU,broken clouds,2021-06-19 01:55:42
68,Matagami,49.7502,-77.6328,62.71,82,90,6.91,CA,heavy intensity rain,2021-06-19 01:55:43
69,Georgetown,5.4112,100.3354,85.93,82,20,1.99,MY,few clouds,2021-06-19 01:46:46
70,Hilo,19.7297,-155.09,78.8,72,20,8.05,US,few clouds,2021-06-19 01:52:35
71,Ilulissat,69.2167,-51.1,42.82,75,9,3.44,GL,clear sky,2021-06-19 01:47:07
72,Kapaa,22.0752,-159.319,84.18,75,20,1.99,US,few clouds,2021-06-19 01:48:17
73,Quatre Cocos,-20.2078,57.7625,68.09,69,8,10.6,MU,clear sky,2021-06-19 01:55:44
74,Hovd,48.0056,91.6419,68.67,34,0,3.4,MN,clear sky,2021-06-19 01:55:44
75,Senador Jose Porfirio,-2.5908,-51.9542,74.7,93,83,4.85,BR,broken clouds,2021-06-19 01:55:45
76,Narsaq,60.9167,-46.05,44.82,75,100,3.98,GL,overcast clouds,2021-06-19 01:46:39
77,Flin Flon,54.7682,-101.865,62.44,38,17,3.31,CA,few clouds,2021-06-19 01:55:45
78,Barrow,71.2906,-156.7887,57.22,58,1,11.5,US,clear sky,2021-06-19 01:46:55
79,Ancud,-41.8697,-73.8203,43.23,80,0,4.56,CL,clear sky,2021-06-19 01:55:46
80,Teknaf,20.8624,92.3058,79.2,93,100,27.96,BD,heavy intensity rain,2021-06-19 01:55:46
81,Los Llanos De Aridane,28.6585,-17.9182,64.15,73,20,13.8,ES,few clouds,2021-06-19 01:55:47
82,Hambantota,6.1241,81.1185,79.14,89,20,3.44,LK,few clouds,2021-06-19 01:55:47
83,Puqi,29.7167,113.8833,71.91,83,100,2.48,CN,light rain,2021-06-19 01:55:47
84,Nizhniy Kuranakh,58.8353,125.4869,74.53,64,78,2.64,RU,broken clouds,2021-06-19 01:55:48
85,Canico,32.6333,-16.85,65.48,63,40,12.66,PT,scattered clouds,2021-06-19 01:55:48
86,Dembi Dolo,8.5333,34.8,57.04,95,100,3.0,ET,light rain,2021-06-19 01:55:49
87,Port Elizabeth,-33.918,25.5701,50.29,93,0,4.61,ZA,clear sky,2021-06-19 01:53:01
88,Sarangani,5.4033,125.4636,83.41,72,70,5.28,PH,broken clouds,2021-06-19 01:55:49
89,Seoul,37.5683,126.9778,79.21,62,40,3.44,KR,haze,2021-06-19 01:51:08
90,Suoyarvi,62.0833,32.35,62.91,65,24,9.37,RU,few clouds,2021-06-19 01:55:50
91,Tiksi,71.6872,128.8694,70.12,31,5,14.25,RU,clear sky,2021-06-19 01:55:50
92,Verkhnevilyuysk,63.4453,120.3167,75.29,48,100,3.29,RU,overcast clouds,2021-06-19 01:55:51
93,Butaritari,3.0707,172.7902,82.92,70,25,5.28,KI,scattered clouds,2021-06-19 01:52:56
