City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Necochea,AR,2021-06-17 23:54:52,-38.5473,-58.7368,42.04,68,45,3.8
1,Jamestown,US,2021-06-17 23:54:52,42.097,-79.2353,71.24,37,1,5.75
2,Caravelas,BR,2021-06-17 23:54:52,-17.7125,-39.2481,70.57,76,2,6.64
3,Mataura,NZ,2021-06-17 23:54:53,-46.1927,168.8643,43.48,83,4,6.89
4,Port Alfred,ZA,2021-06-17 23:54:53,-33.5906,26.891,61.83,77,0,22.68
5,Bluff,NZ,2021-06-17 23:54:54,-46.6,168.3333,43.81,72,6,17.18
6,Bilibino,RU,2021-06-17 23:54:54,68.0546,166.4372,37.54,96,100,3.42
7,Kpandae,GH,2021-06-17 23:54:54,8.4689,-0.0113,77.25,70,65,6.35
8,Puerto Ayora,EC,2021-06-17 23:54:55,-0.7393,-90.3518,73.54,91,44,5.01
9,Hobart,AU,2021-06-17 23:53:34,-42.8794,147.3294,56.01,94,75,1.01
10,Hermanus,ZA,2021-06-17 23:53:29,-34.4187,19.2345,56.89,82,67,0.22
11,Berlevag,NO,2021-06-17 23:54:55,70.8578,29.0864,42.6,80,85,13.65
12,Albany,US,2021-06-17 23:54:14,42.6001,-73.9662,71.17,60,36,9.04
13,Praya,CV,2021-06-17 23:54:56,14.9215,-23.5087,73.94,78,40,19.57
14,Guiratinga,BR,2021-06-17 23:54:56,-16.3494,-53.7583,70.5,41,22,3.0
15,Hilo,US,2021-06-17 23:54:57,19.7297,-155.09,77.25,92,74,1.99
16,Geraldton,AU,2021-06-17 23:54:57,-28.7667,114.6,50.41,81,0,2.3
17,Tura,IN,2021-06-17 23:54:57,25.5198,90.2201,75.47,87,79,2.86
18,Altamira,BR,2021-06-17 23:54:58,-3.2033,-52.2064,76.06,81,52,2.46
19,Saint-Francois,FR,2021-06-17 23:54:58,46.4154,3.9054,67.44,73,0,2.3
20,Pasni,PK,2021-06-17 23:54:59,25.2631,63.471,82.38,82,0,8.48
21,Nikolskoye,RU,2021-06-17 23:54:59,59.7035,30.7861,58.01,75,36,5.14
22,Phonhong,LA,2021-06-17 23:54:59,18.5007,102.4166,78.62,94,42,2.24
23,Ushuaia,AR,2021-06-17 23:55:00,-54.8,-68.3,37.06,87,0,8.05
24,Lazi,UA,2021-06-17 23:55:00,48.0667,24.2333,59.83,93,89,4.59
25,Gizo,SB,2021-06-17 23:55:00,-8.103,156.8419,82.81,74,7,10.22
26,Kapaa,US,2021-06-17 23:55:01,22.0752,-159.319,84.18,77,26,4.0
27,Goundi,TD,2021-06-17 23:55:01,9.3627,17.366,73.71,81,44,4.14
28,Barcelos,PT,2021-06-17 23:55:01,41.5388,-8.6151,61.92,94,87,4.72
29,East London,ZA,2021-06-17 23:55:03,-33.0153,27.9116,62.76,72,4,16.37
30,Yulara,AU,2021-06-17 23:55:04,-25.2406,130.9889,48.04,66,100,14.97
31,Mincivan,AZ,2021-06-17 23:55:04,39.0294,46.7185,74.34,54,0,1.57
32,Carnarvon,AU,2021-06-17 23:55:04,-24.8667,113.6333,46.47,48,0,9.22
33,Mar Del Plata,AR,2021-06-17 23:53:31,-38.0023,-57.5575,46.13,76,75,3.0
34,Chuy,UY,2021-06-17 23:55:05,-33.6971,-53.4616,50.05,85,90,9.75
35,Sakaiminato,JP,2021-06-17 23:55:05,35.55,133.2333,69.78,94,75,4.61
36,Frunze,UA,2021-06-17 23:55:06,48.6686,38.7544,63.34,97,100,6.53
37,Rikitea,PF,2021-06-17 23:55:06,-23.1203,-134.9692,74.12,74,100,26.93
38,Castro,BR,2021-06-17 23:55:06,-24.7911,-50.0119,52.9,82,90,1.34
39,Hamilton,US,2021-06-17 23:50:55,39.1834,-84.5333,84.15,46,1,10.36
40,Bandarbeyla,SO,2021-06-17 23:55:07,9.4942,50.8122,76.87,76,76,26.98
41,Kodiak,US,2021-06-17 23:55:07,57.79,-152.4072,47.12,97,100,14.9
42,Tasiilaq,GL,2021-06-17 23:54:47,65.6145,-37.6368,30.4,73,50,5.44
43,Dikson,RU,2021-06-17 23:55:08,73.5069,80.5464,31.96,91,99,9.62
44,Talnakh,RU,2021-06-17 23:55:08,69.4865,88.3972,54.81,96,100,8.37
45,Bredasdorp,ZA,2021-06-17 23:55:08,-34.5322,20.0403,56.52,94,83,4.61
46,Dayong,CN,2021-06-17 23:55:09,25.0209,118.2898,85.68,75,100,2.35
47,Hofn,IS,2021-06-17 23:55:09,64.2539,-15.2082,42.98,89,100,8.23
48,Georgetown,MY,2021-06-17 23:55:10,5.4112,100.3354,76.95,92,20,1.99
49,Aklavik,CA,2021-06-17 23:55:10,68.2191,-135.0107,68.83,39,75,6.91
50,Taoudenni,ML,2021-06-17 23:55:10,22.6783,-3.9836,99.09,7,0,10.0
51,Bela Vista,BR,2021-06-17 23:55:11,-22.1089,-56.5211,57.79,73,100,5.61
52,Nizwa,OM,2021-06-17 23:55:11,22.9333,57.5333,91.06,21,1,3.6
53,Alofi,NU,2021-06-17 23:55:11,-19.0595,-169.9187,78.69,78,75,12.66
54,Khatanga,RU,2021-06-17 23:55:12,71.9667,102.5,72.09,46,5,11.14
55,Vaini,TO,2021-06-17 23:55:12,-21.2,-175.2,80.76,83,20,3.44
56,Monrovia,LR,2021-06-17 23:55:12,6.3005,-10.7969,78.87,82,100,6.38
57,Grindavik,IS,2021-06-17 23:55:13,63.8424,-22.4338,46.35,81,75,10.36
58,Bethel,US,2021-06-17 23:55:13,41.3712,-73.414,73.72,52,7,2.93
59,Cape Town,ZA,2021-06-17 23:51:42,-33.9258,18.4232,57.11,97,75,2.3
60,Kavieng,PG,2021-06-17 23:55:14,-2.5744,150.7967,82.9,70,93,5.75
61,Jiaocheng,CN,2021-06-17 23:55:14,24.6774,116.1389,83.7,77,83,3.76
62,Jalu,LY,2021-06-17 23:55:14,29.0331,21.5482,78.98,33,0,10.07
63,Atuona,PF,2021-06-17 23:55:15,-9.8,-139.0333,79.11,79,31,20.2
64,Saint-Philippe,RE,2021-06-17 23:55:15,-21.3585,55.7679,71.15,85,53,12.33
65,Tuktoyaktuk,CA,2021-06-17 23:55:16,69.4541,-133.0374,42.8,81,40,11.5
66,Barrow,US,2021-06-17 23:55:16,71.2906,-156.7887,54.5,48,98,7.94
67,Nanortalik,GL,2021-06-17 23:55:16,60.1432,-45.2371,36.97,86,61,4.25
68,Busselton,AU,2021-06-17 23:55:17,-33.65,115.3333,52.95,81,8,9.66
69,Yauya,PE,2021-06-17 23:55:17,-8.9833,-77.3,50.67,69,85,1.99
70,Hithadhoo,MV,2021-06-17 23:55:17,-0.6,73.0833,83.52,73,87,6.98
71,Sao Filipe,CV,2021-06-17 23:55:18,14.8961,-24.4956,73.53,76,1,7.87
72,Salalah,OM,2021-06-17 23:55:18,17.0151,54.0924,82.11,84,67,8.59
